	Temperature	Light	CO2	HumidityRatio	Occupancy	day	hour	Disagio	Grande disagio	Pericolo
0	23.18	426.0	721.25	0.00479298817650529	1	4	17	0	0	1
1	23.15	429.5	714.0	0.00478344094931065	1	4	17	0	0	1
2	23.15	426.0	713.5	0.00477946352442199	1	4	17	0	0	1
3	23.15	426.0	708.25	0.00477150882608175	1	4	17	0	0	1
4	23.1	426.0	704.5	0.004756992933315179	1	4	17	0	0	1
5	23.1	419.0	701.0	0.004756992933315179	1	4	17	0	0	1
6	23.1	419.0	701.666666666667	0.004756992933315179	1	4	17	0	0	1
7	23.1	419.0	699.0	0.004756992933315179	1	4	17	0	0	1
8	23.1	419.0	689.333333333333	0.004756992933315179	1	4	17	0	0	1
9	23.075	419.0	688.0	0.00474535071966655	1	4	18	0	0	1
10	23.075	419.0	690.25	0.00474095189694268	1	4	18	0	0	1
11	23.1	419.0	691.0	0.00473937073052061	1	4	18	0	0	1
12	23.1	419.0	683.5	0.00475111875560951	1	4	18	0	0	1
13	23.05	419.0	687.5	0.0047337317970825	1	4	18	0	0	1
14	23.0	419.0	686.0	0.00471494214590473	1	4	18	0	0	1
15	23.0	418.5	680.5	0.00471494214590473	1	4	18	0	0	1
16	23.0	0.0	681.5	0.0047280779496687705	0	4	18	0	0	1
17	22.945	0.0	685.0	0.00472795137178073	0	4	18	0	0	1
18	22.945	0.0	685.0	0.0047454083970941	0	4	18	0	0	1
19	22.89	0.0	689.0	0.00472950615591001	0	4	18	0	0	1
20	22.89	0.0	689.5	0.00472950615591001	0	4	18	0	0	1
21	22.89	0.0	689.0	0.00472950615591001	0	4	18	0	0	1
22	22.89	0.0	691.0	0.00473907551474663	0	4	18	0	0	1
23	22.89	0.0	688.0	0.00474864516581148	0	4	18	0	0	1
24	22.89	0.0	689.5	0.00474864516581148	0	4	18	0	0	1
25	22.79	0.0	689.0	0.00471022404680625	0	4	18	0	0	1
26	22.79	0.0	685.666666666667	0.004719734999149521	0	4	18	0	0	1
27	22.79	0.0	687.0	0.004719734999149521	0	4	18	0	0	1
28	22.79	0.0	688.0	0.004719734999149521	0	4	18	0	0	1
29	22.745	0.0	670.0	0.0047067761580489	0	4	18	0	0	1
30	22.7	0.0	668.666666666667	0.00468754308384392	0	4	18	0	0	1
31	22.7	0.0	670.0	0.00469384871410812	0	4	18	0	0	1
32	22.7	0.0	667.0	0.00469384871410812	0	4	18	0	0	1
